Date,Value,Daily News Sentiment_INT,Daily News Sentiment_NA
2019-07-12,77.63,0.0,0.0
2019-07-15,77.08,0.0,0.0
2019-07-16,75.93,0.0,0.0
2019-07-17,75.48,0.0,0.0
2019-07-18,74.84,0.0,-0.3
2019-07-19,74.99,0.0,0.0
2019-07-22,75.07,0.0,0.0
2019-07-23,75.37,0.0,0.0
2019-07-24,75.36,0.0,0.0
2019-07-25,74.93,0.0,0.0
2019-07-26,74.81,0.0,0.0
2019-07-29,75.34,0.0,0.0
2019-07-30,75.35,0.0,0.0
2019-07-31,74.36,0.0,-0.18
2019-08-01,72.46,-0.1,0.0
2019-08-02,71.75,0.0,-0.16
2019-08-05,70.28,0.0,0.0
2019-08-06,70.96,0.0,0.0
2019-08-07,70.5,0.0,-0.5
2019-08-08,72.38,-0.2,0.0
2019-08-09,70.84,0.0,0.0
2019-08-12,69.63,0.0,0.0
2019-08-13,70.49,0.0,0.0
2019-08-14,67.65,0.0,0.0
2019-08-15,67.25,0.0,0.0
2019-08-16,68.3,-0.1,0.0
2019-08-19,69.45,0.0,0.1
2019-08-20,69.03,0.0,0.0
2019-08-21,69.72,0.0,0.0
2019-08-22,69.57,0.0,0.0
2019-08-23,67.49,0.0,0.0
2019-08-26,67.85,0.0,-0.2
2019-08-27,67.19,0.0,0.0
2019-08-28,67.68,0.0,0.0
2019-08-29,68.43,0.0,0.0
2019-08-30,68.48,0.0,0.0
2019-09-03,68.56,0.0,0.0
2019-09-04,69.29,0.0,0.2
2019-09-05,70.27,0.0,-0.17
2019-09-06,70.93,0.0,-0.35
2019-09-09,71.49,0.0,0.0
2019-09-10,72.07,0.0,0.0
2019-09-11,71.93,0.0,0.0
2019-09-12,71.98,0.0,0.0
2019-09-13,72.64,-0.1,0.0
2019-09-16,73.73,0.0,0.1
2019-09-17,73.17,0.0,0.0
2019-09-18,72.82,-0.2,-0.5
2019-09-19,72.33,0.0,0.0
2019-09-20,72.08,0.0,0.0
2019-09-23,72.13,-0.1,0.0
2019-09-24,71.14,0.0,-0.3
2019-09-25,71.35,0.0,0.0
2019-09-26,70.97,0.0,0.1
2019-09-27,71.48,0.0,0.0
2019-09-30,70.61,0.0,0.0
2019-10-01,68.95,0.0,0.0
2019-10-02,67.15,0.0,0.0
2019-10-03,67.98,0.0,-0.1
2019-10-04,68.97,0.0,-0.2
2019-10-07,68.02,0.0,0.0
2019-10-08,66.7,0.0,0.2
2019-10-09,67.44,0.0,0.1
2019-10-10,68.25,0.0,0.0
2019-10-11,68.98,-0.1,0.0
2019-10-14,69.18,0.0,0.0
2019-10-15,69.42,0.0,0.3
2019-10-16,68.23,0.0,-0.1
2019-10-17,68.14,0.0,0.0
2019-10-18,67.61,0.0,0.0
2019-10-21,68.74,-0.5,-0.6
2019-10-22,69.09,0.0,-0.05
2019-10-23,69.75,0.1,-0.2
2019-10-24,69.09,0.0,-0.67
2019-10-25,69.25,0.0,-0.6
2019-10-28,68.64,0.0,-0.2
2019-10-29,68.44,0.0,0.0
2019-10-30,67.72,-0.5,-0.5
2019-10-31,67.57,0.0,-0.2
2019-11-01,69.6,-0.35,0.5
2019-11-04,71.67,0.0,0.0
2019-11-05,73.09,0.2,0.0
2019-11-06,71.49,-0.1,0.0
2019-11-07,73.01,0.0,0.0
2019-11-08,70.77,0.0,0.0
2019-11-11,70.34,0.0,0.0
2019-11-12,69.37,0.0,-0.3
2019-11-13,68.8,0.0,0.0
2019-11-14,68.5,0.0,0.0
2019-11-15,69.19,0.0,0.0
2019-11-18,68.52,0.0,0.0
2019-11-19,67.82,0.0,0.0
2019-11-20,68.03,-0.6,0.0
2019-11-21,69.67,-0.5,0.0
2019-11-22,69.37,0.0,0.0
2019-11-25,68.91,0.3,0.0
2019-11-26,68.74,0.0,0.0
2019-11-27,68.7,0.0,0.0
2019-11-29,68.13,0.0,0.0
2019-12-02,68.42,-0.1,0.0
2019-12-03,67.88,0.0,0.0
2019-12-04,68.65,0.0,0.0
2019-12-05,68.41,0.0,0.0
2019-12-06,69.51,0.0,0.0
2019-12-09,69.66,0.0,0.0
2019-12-10,69.06,-0.43,-0.4
2019-12-11,68.96,-0.3,-0.7
2019-12-12,70.34,-0.6,-0.6
2019-12-13,69.23,0.0,0.0
2019-12-16,70.0,-0.5,-0.6
2019-12-17,69.68,-0.1,0.0
2019-12-18,69.87,-0.6,0.0
2019-12-19,69.39,0.0,0.0
2019-12-20,69.94,0.0,0.0
2019-12-23,70.29,0.0,0.0
2019-12-24,70.02,0.0,0.0
2019-12-26,70.13,0.0,0.0
2019-12-27,69.89,0.0,0.0
